"","Status","Sex","Province","Area","Date.of.death","Cause.of.death","Province2"
"9368"," Civilian"," Adult - Male"," Damascus Suburbs"," Saqba",2012-08-06," Shelling","Rif Dimashq"
"9369"," Civilian"," Adult - Male"," Idlib"," Ariha",2012-08-06," Shelling","Idlib"
"9370"," Civilian"," Child - Male"," Aleppo"," Dowebeq village",2012-08-05," Shooting","Aleppo"
"9371"," Civilian"," Child - Male"," Deir Ezzor"," Mayadeen",2012-08-05," Shelling","Dayr Az Zawr"
"9372"," Non-Civilian"," Adult - Male"," Damascus"," Tadamun",2012-08-05," Shooting","Damascus"
"9373"," Civilian"," Adult - Male"," Damascus Suburbs"," Erbeen",2012-08-05," Shelling","Rif Dimashq"
"9374"," Civilian"," Adult - Male"," Aleppo"," Andan",2012-08-05," Field Execution","Aleppo"
"9375"," Civilian"," Adult - Male"," Damascus Suburbs"," Erbeen",2012-08-05," Shooting","Rif Dimashq"
"9376"," Civilian"," Adult - Male"," Aleppo"," Sha'ar  Neighborhood",2012-08-05," Shelling","Aleppo"
"9377"," Non-Civilian"," Adult - Male"," Damascus Suburbs"," Erbeen",2012-08-05," Shelling","Rif Dimashq"
"9378"," Civilian"," Adult - Male"," Damascus Suburbs"," Erbeen",2012-08-05," Shelling","Rif Dimashq"
"9379"," Civilian"," Adult - Male"," Idlib"," Bara",2012-08-05," Shelling","Idlib"
"9380"," Civilian"," Child - Female"," Aleppo"," Sheikh Khuder",2012-08-05," Warplane shelling","Aleppo"
"9381"," Civilian"," Child - Male"," Aleppo"," Sheikh Khuder",2012-08-05," Warplane shelling","Aleppo"
"9382"," Civilian"," Adult - Male"," Aleppo"," Izaz",2012-08-05," Explosion","Aleppo"
"9383"," Civilian"," Adult - Female"," Aleppo"," Sheikh Khuder",2012-08-05," Shelling","Aleppo"
"9384"," Civilian"," Adult - Female"," Aleppo"," Sheikh Khuder",2012-08-05," Shelling","Aleppo"
"9385"," Civilian"," Adult - Male"," Aleppo"," Aleppo Citadel",2012-08-05," Shelling","Aleppo"
"9386"," Civilian"," Adult - Male"," Damascus"," Tadamun",2012-08-05," Shooting","Damascus"
"9387"," Civilian"," Adult - Male"," Damascus Suburbs"," Zbdeen",2012-08-05," Shelling","Rif Dimashq"
"9388"," Civilian"," Adult - Male"," Idlib"," Taftanaz",2012-08-05," Shelling","Idlib"
"9389"," Civilian"," Adult - Male"," Aleppo"," Haidaria",2012-08-05," Shooting","Aleppo"
"9390"," Non-Civilian"," Adult - Male"," Aleppo"," SalahEldeen",2012-08-05," Shelling","Aleppo"
"9391"," Civilian"," Adult - Male"," Damascus"," Bab Sreajeh",2012-08-05," Shooting","Damascus"
"9392"," Civilian"," Adult - Male"," Damascus"," Tadamoun",2012-08-05," Field Execution","Damascus"
"9393"," Civilian"," Adult - Male"," Damascus"," Tadamoun",2012-08-05," Shooting","Damascus"
"9394"," Civilian"," Adult - Male"," Damascus"," Tadamoun",2012-08-05," Shooting","Damascus"
"9395"," Civilian"," Adult - Male"," Damascus Suburbs"," Shefunia",2012-08-05," Shooting","Rif Dimashq"
"9396"," Non-Civilian"," Adult - Male"," Damascus Suburbs"," Hazza",2012-08-05," Shooting","Rif Dimashq"
"9397"," Non-Civilian"," Adult - Male"," Deir Ezzor"," ",2012-08-05," Shooting","Dayr Az Zawr"
"9398"," Civilian"," Adult - Female"," Deir Ezzor"," Mayadeen",2012-08-05," Shelling","Dayr Az Zawr"
"9399"," Civilian"," Adult - Female"," Deir Ezzor"," Mayadeen",2012-08-05," Shelling","Dayr Az Zawr"
"9400"," Civilian"," Adult - Female"," Deir Ezzor"," Mayadeen",2012-08-05," Shelling","Dayr Az Zawr"
"9401"," Civilian"," Adult - Male"," Damascus"," Qaboun",2012-08-05," Field Execution","Damascus"
"9402"," Civilian"," Adult - Male"," Deir Ezzor"," Mohasan",2012-08-05," Shelling","Dayr Az Zawr"
"9403"," Civilian"," Adult - Male"," Hama"," Harbnafsa",2012-08-05," Shelling","Hamah"
"9404"," Civilian"," Adult - Male"," Aleppo"," Retyan",2012-08-05," Field Execution","Aleppo"
"9405"," Civilian"," Adult - Male"," Hama"," Harbnafsa",2012-08-05," Shelling","Hamah"
"9406"," Non-Civilian"," Adult - Male"," Deir Ezzor"," Bokamal",2012-08-05," Shooting","Dayr Az Zawr"
"9407"," Civilian"," Adult - Male"," Damascus"," Yaroumk Camp",2012-08-05," Shooting","Damascus"
"9408"," Civilian"," Adult - Male"," Hama"," Jben",2012-08-05," Shooting","Hamah"
"9409"," Civilian"," Adult - Male"," Damascus Suburbs"," Erbeen",2012-08-05," Shelling","Rif Dimashq"
"9410"," Non-Civilian"," Adult - Male"," Homs"," Qusair",2012-08-06," Shooting","Hims"
"9411"," Civilian"," Child - Male"," Deir Ezzor"," Bokamal",2012-08-06," Shelling","Dayr Az Zawr"
"9412"," Civilian"," Adult - Female"," Deir Ezzor"," Sinaa Neighborhood",2012-08-06," Shelling","Dayr Az Zawr"
"9413"," Civilian"," Adult - Male"," Damascus Suburbs"," Misraba",2012-08-06," Shelling","Rif Dimashq"
"9414"," Civilian"," Child - Male"," Deir Ezzor"," Bokamal",2012-08-06," Shelling","Dayr Az Zawr"
"9415"," Civilian"," Adult - Male"," Deir Ezzor"," Urfi Neighborhood",2012-08-06," Shelling","Dayr Az Zawr"
"9416"," Civilian"," Adult - Male"," Damascus Suburbs"," Zamalka",2012-08-06," Shooting","Rif Dimashq"
"9417"," Non-Civilian"," Adult - Male"," Other"," Lebanon",2012-08-06," Shooting"," Other"
"9418"," Civilian"," Adult - Male"," Hama"," Kawkab Village",2012-08-06," Shooting","Hamah"
"9419"," Civilian"," Adult - Male"," Aleppo"," Bustan al-Qasr",2012-08-06," Warplane shelling","Aleppo"
"9420"," Civilian"," Adult - Female"," Aleppo"," Kafarkarmin",2012-08-06," Shelling","Aleppo"
"9421"," Civilian"," Adult - Male"," Homs"," Talkalakh",2012-08-06," Shooting","Hims"
"9422"," Non-Civilian"," Adult - Male"," Damascus"," Qaboun",2012-08-06," Shooting","Damascus"
"9423"," Civilian"," Child - Male"," Aleppo"," Bustan al-Qasr",2012-08-06," Warplane shelling","Aleppo"
"9424"," Civilian"," Adult - Male"," Homs"," Khalidia",2012-08-06," Shelling","Hims"
"9425"," Civilian"," Adult - Female"," Idlib"," Ariha",2012-08-06," Warplane shelling","Idlib"
"9426"," Civilian"," Adult - Female"," Idlib"," Ariha",2012-08-06," Shelling","Idlib"
"9427"," Civilian"," Adult - Male"," Idlib"," Ariha",2012-08-06," Shelling","Idlib"
"9428"," Civilian"," Child - Male"," Idlib"," Ariha",2012-08-06," Shelling","Idlib"
"9429"," Civilian"," Adult - Male"," Aleppo"," Bustan al-Qasr",2012-08-06," Warplane shelling","Aleppo"
"9430"," Civilian"," Adult - Male"," Aleppo"," Bustan al-Qasr",2012-08-06," Shelling","Aleppo"
"9431"," Civilian"," Adult - Male"," Aleppo"," Bustan al-Qasr",2012-08-06," Warplane shelling","Aleppo"
"9432"," Civilian"," Adult - Male"," Aleppo"," Bustan al-Qasr",2012-08-06," Shelling","Aleppo"
"9433"," Civilian"," Child - Female"," Homs"," Der Baalba",2012-08-06," Shelling","Hims"
"9434"," Civilian"," Adult - Male"," Homs"," ",2012-08-06," Field Execution","Hims"
"9435"," Non-Civilian"," Adult - Male"," Damascus"," Rukneldeen",2012-08-06," Shooting","Damascus"
"9436"," Civilian"," Adult - Male"," Damascus"," Rukneldeen",2012-08-06," Shooting","Damascus"
"9437"," Civilian"," Adult - Male"," Damascus Suburbs"," Erbeen",2012-08-06," Shooting","Rif Dimashq"
"9438"," Civilian"," Adult - Male"," Damascus Suburbs"," Kafr Batna",2012-08-06," Shooting","Rif Dimashq"
"9439"," Civilian"," Adult - Male"," Homs"," Khaldia",2012-08-06," Shelling","Hims"
"9440"," Civilian"," Adult - Male"," Damascus Suburbs"," Muadamia",2012-08-06," Detention - Execution","Rif Dimashq"
"9441"," Civilian"," Child - Male"," Aleppo"," Bab",2012-08-06," Warplane shelling","Aleppo"
"9442"," Civilian"," Adult - Male"," Aleppo"," Hamadania",2012-08-06," Shooting","Aleppo"
"9443"," Civilian"," Adult - Male"," Tartous"," Banyas",2012-08-06," Shooting","Tartus"
"9444"," Civilian"," Adult - Male"," Aleppo"," SalahEldeen",2012-08-06," Shelling","Aleppo"
"9445"," Civilian"," Child - Male"," Aleppo"," Qadi Askar",2012-08-06," Warplane shelling","Aleppo"
"9446"," Civilian"," Child - Male"," Aleppo"," Qadi Askar",2012-08-06," Warplane shelling","Aleppo"
"9447"," Civilian"," Adult - Male"," Aleppo"," Bab Hadid",2012-08-06," Shelling","Aleppo"
"9448"," Civilian"," Adult - Male"," Aleppo"," Bab Hadid",2012-08-06," Warplane shelling","Aleppo"
"9449"," Civilian"," Child - Male"," Aleppo"," Kafarkarmin",2012-08-06," Shelling","Aleppo"
"9450"," Civilian"," Adult - Male"," Deir Ezzor"," Qusor",2012-08-06," Shooting","Dayr Az Zawr"
"9451"," Non-Civilian"," Adult - Male"," Deir Ezzor"," Quria",2012-08-06," Shooting","Dayr Az Zawr"
"9452"," Civilian"," Child - Male"," Aleppo"," Sakhour",2012-08-06," Warplane shelling","Aleppo"
"9453"," Civilian"," Child - Male"," Aleppo"," Sakhour",2012-08-06," Warplane shelling","Aleppo"
"9454"," Civilian"," Child - Male"," Aleppo"," Sakhour",2012-08-06," Warplane shelling","Aleppo"
"9455"," Civilian"," Adult - Male"," Aleppo"," Sakhour",2012-08-06," Warplane shelling","Aleppo"
"9456"," Civilian"," Adult - Female"," Idlib"," Ariha",2012-08-06," Shelling","Idlib"
"9457"," Civilian"," Adult - Male"," Idlib"," Ariha",2012-08-06," Shelling","Idlib"
"9458"," Civilian"," Adult - Male"," Idlib"," Maaret Al-Nouman",2012-08-06," Shooting","Idlib"
"9459"," Civilian"," Adult - Male"," Damascus"," Rukneldeen",2012-08-06," Shelling","Damascus"
"9460"," Non-Civilian"," Adult - Male"," Damascus Suburbs"," Haran Al-Awameed",2012-08-06," Shooting","Rif Dimashq"
"9461"," Civilian"," Adult - Male"," Damascus Suburbs"," Kafr Batna",2012-08-06," Shelling","Rif Dimashq"
"9462"," Civilian"," Child - Female"," Damascus Suburbs"," Kafr Batna",2012-08-06," Shelling","Rif Dimashq"
"9463"," Civilian"," Adult - Female"," Idlib"," Ehsim",2012-08-06," Shelling","Idlib"
"9464"," Civilian"," Adult - Male"," Aleppo"," Tal Rifaat",2012-08-06," Shelling","Aleppo"
"9465"," Non-Civilian"," Adult - Male"," Daraa"," Jasem",2012-08-06," Shooting","Dar`a"
"9466"," Non-Civilian"," Adult - Male"," Deir Ezzor"," ",2012-08-06," Shooting","Dayr Az Zawr"
"9467"," Civilian"," Adult - Female"," Damascus Suburbs"," Douma",2012-08-06," Shelling","Rif Dimashq"
"9468"," Civilian"," Adult - Female"," Damascus Suburbs"," Douma",2012-08-06," Shelling","Rif Dimashq"
"9469"," Civilian"," Adult - Male"," Aleppo"," Seif al-Dawla",2012-08-06," Shooting","Aleppo"
"9470"," Civilian"," Adult - Male"," Aleppo"," Qselah",2012-08-06," Shelling","Aleppo"
